                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.8134,                 1.1922,                0.93563,                0.89319,                0.76486,                0.80907,                0.39792,                 1.7928,                0.96265,                0.95833,              0.0006733,              0.0006733,              0.0006733
                     36,                 1.7589,                 1.1231,                0.92667,                0.92163,                0.73581,                0.81431,                0.39714,                 1.7894,                0.98287,                0.96083,              0.0006634,              0.0006634,              0.0006634
                     37,                 1.8059,                 1.1569,                0.92349,                 0.9212,                0.71771,                 0.8318,                0.40434,                 1.7362,                0.98001,                0.95213,              0.0006535,              0.0006535,              0.0006535
                     38,                 1.7564,                 1.1316,                0.92552,                0.88926,                0.75296,                0.81395,                0.40101,                 1.7075,                0.98081,                0.94883,              0.0006436,              0.0006436,              0.0006436
                     39,                 1.7615,                 1.1023,                0.92108,                0.93833,                0.78019,                0.85874,                0.43646,                  1.659,                0.91036,                0.93959,              0.0006337,              0.0006337,              0.0006337
                     40,                 1.7899,                 1.1093,                0.92436,                0.90914,                 0.7748,                0.85005,                0.42904,                 1.6464,                 0.9119,                0.93624,              0.0006238,              0.0006238,              0.0006238
                     41,                 1.7423,                 1.0792,                0.91761,                0.94846,                0.75549,                0.84667,                0.43037,                 1.6983,                0.91796,                0.94279,              0.0006139,              0.0006139,              0.0006139
                     42,                 1.7307,                 1.0885,                0.92229,                0.87129,                0.79886,                0.84185,                0.41926,                 1.6989,                0.91848,                0.94022,               0.000604,               0.000604,               0.000604
                     43,                 1.7151,                 1.0522,                0.91957,                0.92056,                0.77011,                0.83454,                0.40762,                 1.6974,                 0.9262,                0.93732,              0.0005941,              0.0005941,              0.0005941
                     44,                 1.7106,                 1.0454,                0.90521,                0.90656,                0.78921,                0.85348,                0.42082,                 1.7005,                0.91061,                0.93837,              0.0005842,              0.0005842,              0.0005842
                     45,                  1.706,                  1.052,                0.91557,                0.88595,                0.81046,                 0.8741,                0.43344,                 1.6835,                 0.8774,                0.94407,              0.0005743,              0.0005743,              0.0005743
                     46,                 1.7918,                 1.1048,                0.93126,                0.90364,                0.79113,                0.84857,                0.42361,                 1.6986,                0.89822,                0.94258,              0.0005644,              0.0005644,              0.0005644
                     47,                 1.7184,                 1.0375,                0.92056,                0.90558,                0.79144,                0.86206,                0.42277,                 1.7097,                0.88024,                0.94195,              0.0005545,              0.0005545,              0.0005545
                     48,                 1.6864,                 1.0086,                0.91125,                0.89671,                 0.8032,                0.86611,                0.44546,                 1.6266,                0.88121,                0.92899,              0.0005446,              0.0005446,              0.0005446
                     49,                 1.7332,                 1.0475,                0.90855,                0.95078,                 0.7559,                0.85756,                0.41649,                 1.6965,                0.90203,                0.94122,              0.0005347,              0.0005347,              0.0005347
                     50,                 1.6746,                 1.0032,                0.90179,                0.92522,                0.77535,                 0.8602,                0.41244,                 1.6963,                0.89203,                 0.9401,              0.0005248,              0.0005248,              0.0005248
                     51,                 1.6884,                0.99114,                0.90561,                0.90392,                0.79688,                0.85064,                0.41912,                 1.6712,                0.88005,                0.93395,              0.0005149,              0.0005149,              0.0005149
                     52,                 1.6695,                 1.0071,                 0.8965,                0.94343,                0.77854,                 0.8551,                0.42696,                 1.6498,                0.89825,                0.93135,               0.000505,               0.000505,               0.000505
                     53,                 1.6597,                0.97143,                0.89476,                 0.9217,                0.79997,                0.86835,                0.44432,                  1.632,                0.87804,                0.92658,              0.0004951,              0.0004951,              0.0004951
                     54,                 1.6448,                0.97235,                0.89956,                0.90496,                0.80187,                0.85208,                 0.4162,                 1.6829,                0.86355,                0.92617,              0.0004852,              0.0004852,              0.0004852
                     55,                 1.6515,                0.95049,                0.89443,                0.92791,                0.77468,                0.86677,                0.41886,                 1.6798,                0.85538,                0.92117,              0.0004753,              0.0004753,              0.0004753
                     56,                 1.6692,                0.96397,                0.90272,                0.93416,                0.75191,                 0.8576,                0.42103,                 1.7143,                0.82249,                0.92595,              0.0004654,              0.0004654,              0.0004654
                     57,                 1.6673,                0.96603,                0.90284,                0.94377,                0.79039,                0.88068,                0.45296,                 1.6247,                0.79693,                0.92078,              0.0004555,              0.0004555,              0.0004555
                     58,                 1.6392,                 0.9508,                0.89564,                0.90175,                 0.8004,                0.86671,                 0.4359,                 1.6899,                0.85211,                0.94061,              0.0004456,              0.0004456,              0.0004456
                     59,                 1.6174,                0.94709,                0.89995,                0.93635,                0.78235,                0.88135,                0.45398,                 1.6397,                0.80504,                0.92284,              0.0004357,              0.0004357,              0.0004357
                     60,                 1.6367,                0.94474,                0.89534,                0.89748,                0.80217,                0.86889,                0.42423,                 1.6839,                0.85964,                0.93206,              0.0004258,              0.0004258,              0.0004258
                     61,                 1.6311,                0.93055,                0.89914,                0.89388,                0.80664,                0.86306,                0.41154,                 1.7202,                0.83734,                0.93735,              0.0004159,              0.0004159,              0.0004159
                     62,                 1.6139,                  0.927,                0.89242,                0.89951,                0.81833,                0.89029,                0.42624,                 1.7147,                0.81718,                0.93942,               0.000406,               0.000406,               0.000406
                     63,                  1.582,                0.92608,                0.89027,                0.90971,                 0.8042,                0.87329,                0.39633,                 1.7535,                0.84548,                0.93992,              0.0003961,              0.0003961,              0.0003961
                     64,                 1.5714,                0.89615,                0.88709,                0.90166,                0.83292,                0.88406,                0.43402,                 1.6936,                0.79706,                0.93674,              0.0003862,              0.0003862,              0.0003862
                     65,                 1.5857,                0.89838,                0.89312,                 0.9044,                0.80854,                0.87327,                0.43838,                 1.6401,                0.80696,                 0.9248,              0.0003763,              0.0003763,              0.0003763
                     66,                 1.5929,                 0.9037,                 0.8977,                0.89877,                0.80034,                0.85332,                0.41547,                 1.7304,                0.84107,                0.93406,              0.0003664,              0.0003664,              0.0003664
